行业名称,entry_rate,exit_rate,net_rate,firm_total
其他批发业,.61831462,.38168538,.23662922,4215879
软件开发,.56885368,.43114629,.1377074,2375246
建筑装饰和装修业,.63585186,.36414817,.27170366,2285841
技术推广服务,.64031214,.35968786,.28062427,1861118
综合管理服务,.59745306,.40254694,.19490609,1807550
互联网信息服务,.54748911,.45251092,.094978161,1489171
矿产品、建材及化工产品批发,.56598777,.43401226,.13197549,1381152
住宅房屋建筑,.6555174,.3444826,.31103483,1301606
工程和技术研究和试验发展,.60456741,.39543256,.20913488,1263696
纺织、服装及家庭用品批发,.54864728,.45135272,.097294584,1257665
文艺创作与表演,.59393471,.40606526,.18786946,1180883
机械设备、五金产品及电子产品批发,.59630227,.40369773,.19260457,1148939
房地产开发经营,.67594922,.32405081,.35189837,1069417
工业与专业设计及其他专业技术服务,.6837641,.3162359,.3675282,1027012
机械设备经营租赁,.64624172,.35375825,.29248348,1021530
技能培训、教育辅助及其他教育,.64419252,.35580745,.28838506,856299
电子器件制造,.57439929,.42560074,.14879854,822789
组织管理服务,.6102252,.38977477,.22045045,812888
其他商务服务业,.78768671,.21231326,.57537347,794260
其他科技推广服务业,.77437311,.22562689,.54874623,776840
其他土木工程建筑,.73491603,.26508397,.46983206,769307
咨询与调查,.54389852,.45610148,.087797068,704618
其他建筑安装业,.65528697,.34471306,.31057388,684630
货摊、无店铺及其他零售业,.79650581,.20349418,.59301162,680090
综合零售,.64049673,.3595033,.2809934,658551
运输代理业,.66675299,.33324701,.33350599,649325
食品、饮料及烟草制品批发,.60172802,.39827198,.20345604,616326
石墨及其他非金属矿物制品制造,.64777213,.35222787,.29554427,611818
服饰制造,.6094926,.3905074,.2189852,601343
正餐服务,.61669278,.38330725,.2333855,574823
其他未列明建筑业,.8390919,.1609081,.67818379,471534
基础化学原料制造,.60077977,.39922026,.20155951,471304
农业专业及辅助性活动,.64603841,.35396162,.2920768,466353
电子和电工机械专用设备制造,.63891202,.36108801,.27782401,466137
其他电气机械及器材制造,.62564135,.37435868,.25128266,455967
结构性金属制品制造,.66544646,.33455354,.33089292,442927
蔬菜、食用菌及园艺作物种植,.7167027,.28329733,.43340534,433746
物业管理,.66467124,.33532879,.32934245,402847
其他通用设备制造业,.68386024,.31613976,.36772048,399481
棉纺织及印染精加工,.58122391,.41877609,.1624478,397875
广告业,.60252708,.39747289,.20505421,396237
电力生产,.62714028,.37285969,.25428063,387355
影视节目制作,.65828633,.34171367,.31657267,375738
装卸搬运,.651191,.34880903,.30238193,356807
塑料制品业,.67138267,.32861736,.34276527,356637
其他未列明服务业,.66274381,.33725622,.32548755,344364
其他家具制造,.68347085,.31652918,.36694166,338735
文教办公用品制造,.60287046,.39712957,.2057409,338198
房地产中介服务,.5940339,.40596613,.18806775,328501
饮料制造,.64096272,.35903731,.28192541,319492
市政设施管理,.65379375,.34620622,.30758756,316139
一般旅馆,.68210483,.31789517,.36420968,309524
其他信息技术服务业,.73309249,.26690754,.46618494,300672
其他资本市场服务,.57500088,.42499912,.15000175,290131
纺织、服装及日用品专门零售,.6442914,.35570863,.28858277,284387
道路货物运输,.64215106,.35784894,.28430215,282552
其他文化艺术业,.74890643,.25109354,.49781293,273648
其他食品制造,.68346262,.31653738,.36692524,263587
铁路、道路、隧道和桥梁工程建筑,.7300936,.2699064,.4601872,259305
其他体育,.69487518,.30512479,.38975042,256696
汽车整车制造,.59114593,.40885407,.18229185,253840
五金、家具及室内装饰材料专门零售,.75888497,.24111506,.51776987,242120
其他日用产品修理业,.66627932,.33372065,.33255866,240600
其他未列明金融业,.59403127,.40596876,.18806253,234721
其他居民服务业,.69129032,.30870971,.38258061,234602
金属废料和碎屑加工处理,.62633371,.37366629,.25266746,229227
公路旅客运输,.7186836,.2813164,.4373672,225572
纸制品制造,.68307024,.31692979,.36614043,213127
食品、饮料及烟草制品专门零售,.69604808,.30395192,.39209613,212080
医院,.75741571,.24258432,.51483136,203172
其他农副食品加工,.6756739,.32432613,.35134774,200856
贸易经纪与代理,.60439712,.39560288,.20879427,198122
环境治理业,.66402316,.33597681,.32804635,194916
牲畜饲养,.73417586,.26582414,.46835172,189616
人力资源服务,.67867637,.32132366,.3573527,186076
文化、体育用品及器材批发,.63888454,.36111549,.27776906,181153
化学药品制剂制造,.62141854,.37858146,.2428371,171746
家用电器及电子产品专门零售,.76078165,.23921835,.52156329,165514
其他机械和设备修理业,.68164575,.31835425,.36329153,165316
通用仪器仪表制造,.68204141,.31795859,.36408281,163256
其他房屋建筑业,.86117977,.13882023,.72235954,161203
木质制品制造,.70661479,.29338524,.41322955,158998
提供住宿社会工作,.69446421,.30553582,.38892838,152653
工程技术与设计服务,.65830112,.34169888,.31660223,152204
皮革制品制造,.58749324,.41250676,.1749865,151725
汽车、摩托车、零配件和燃料及其他动力销售,.71768981,.28231022,.43537956,147830
其他未列明制造业,.84652323,.15347679,.69304645,144759
管道和设备安装,.80759466,.19240533,.61518937,144512
其他娱乐业,.66218227,.33781773,.32436457,136373
信息技术咨询服务,.60180289,.39819711,.2036058,131769
煤炭加工,.62048489,.37951511,.24096978,121619
水产养殖,.7356115,.2643885,.47122303,119261
医药及医疗器材批发,.66676903,.33323097,.33353806,113714
装订及印刷相关服务,.74142933,.25857067,.48285869,110799
农、林、牧、渔产品批发,.68760616,.31239387,.37521228,107738
日用杂品制造,.67999715,.32000288,.35999426,107388
汽车、摩托车等修理与维护,.69266623,.30733377,.38533247,105872
医药及医疗器材专门零售,.71041721,.28958282,.42083439,97431
土砂石开采,.67030275,.32969722,.34060553,96896
砖瓦、石材等建筑材料制造,.73644757,.26355246,.47289512,96024
通用零部件制造,.73160058,.26839942,.46320117,94699
其他农业,.81839371,.18160631,.63678735,92606
银行理财服务,.69915324,.30084679,.39830643,87279
森林经营、管护和改培,.71175289,.28824711,.42350581,86986
有色金属压延加工,.65357441,.34642562,.30714875,85814
其他煤炭采选,.61184663,.3881534,.22369321,85373
清洁服务,.58907008,.41092995,.17814012,80891
其他餐饮业,.72072816,.27927187,.44145626,77627
会议、展览及相关服务,.53306174,.46693826,.066123493,76689
汽车零部件及配件制造,.68489897,.31510103,.36979797,73026
常用有色金属矿采选,.55501169,.44498834,.11002332,72860
文化、体育用品及器材专门零售,.73563123,.26436877,.47126248,72073
信息系统集成和物联网技术服务,.7034657,.2965343,.40693143,68583
电信,.5640738,.43592617,.12814765,67178
铸造及其他金属制品制造,.85948914,.14051087,.71897829,66903
钢压延加工,.68703401,.31296599,.37406805,66869
其他房地产业,.39036313,.6096369,-.21927375,66747
绿化管理,.64938593,.3506141,.2987718,62974
机织服装制造,.60917217,.39082783,.21834435,62872
工艺美术及礼仪用品制造,.65330422,.34669578,.30660844,61303
燃气生产和供应业,.70960718,.29039285,.41921434,61044
城市轨道交通设备制造,.6238904,.37610963,.24778074,60496
木质家具制造,.69090837,.30909166,.38181669,60168
化工、木材、非金属加工专用设备制造,.73334908,.26665092,.46669817,57988
其他水利管理业,.69779962,.30220041,.39559919,56077
电气安装,.79519749,.20480254,.59039491,55782
石膏、水泥制品及类似制品制造,.7498579,.25014213,.49971578,55495
水上货物运输,.65336537,.34663466,.30673072,54892
出版业,.60524923,.39475077,.21049844,54162
其他互联网服务,.68449235,.31550768,.36898467,53637
金属加工机械制造,.76227802,.23772196,.5245561,53343
谷物种植,.70329767,.29670233,.40659535,52884
印刷,.74787903,.252121,.49575803,52876
水果种植,.72667605,.27332395,.45335212,50149
自然科学研究和试验发展,.7173292,.28267083,.43465838,49734
家庭服务,.57323343,.4267666,.14646682,47984
医学研究和试验发展,.61036915,.38963082,.22073834,47096
文化体育娱乐活动与经纪代理服务,.7194218,.28057823,.43884355,47055
农业科学研究和试验发展,.73266929,.26733071,.46533859,46786
林木育种和育苗,.70740592,.29259408,.41481188,45606
木材加工,.64739954,.35260046,.29479912,43879
输配电及控制设备制造,.7190243,.2809757,.43804863,43119
制鞋业,.60748774,.39251229,.21497542,42642
健身休闲活动,.61718047,.38281953,.23436093,41336
其他电子设备制造,.82596803,.174032,.65193599,40686
水利和水运工程建筑,.76117235,.23882765,.52234471,40520
航空客货运输,.64558101,.35441899,.29116201,39267
架线和管道工程建筑,.76563859,.23436143,.53127712,35995
体育组织,.66587776,.33412224,.33175555,35293
自来水生产和供应,.77725649,.22274354,.55451292,34807
环保、邮政、社会公共服务及其他专用设备制造,.85732311,.14267689,.71464622,34458
理发及美容服务,.5261851,.4738149,.052370209,34305
泵、阀门、压缩机及类似机械制造,.73883915,.26116085,.4776783,33371
家用纺织制成品制造,.65045244,.34954756,.30090487,32476
创业空间服务,.64419383,.3558062,.28838763,32383
照明器具制造,.60425836,.39574167,.20851666,31991
质检技术服务,.68209141,.31790861,.3641828,31678
其他住宿业,.81999558,.18000445,.6399911,28599
室内娱乐活动,.56450391,.43549609,.1290078,28455
针织或钩针编织物及其制品制造,.63510644,.36489356,.27021289,28423
其他仓储业,.81090021,.18909977,.62180048,28075
其他采矿业,.68769407,.31230596,.37538812,27662
家用电力器具制造,.66158485,.33841515,.32316971,27579
橡胶制品业,.73315907,.26684093,.46631813,27215
家禽饲养,.7211709,.27882907,.44234183,27129
金属制日用品制造,.72198659,.27801341,.44397318,27124
建筑物拆除和场地准备活动,.70149165,.29850838,.40298328,26828
集成电路设计,.63171083,.36828917,.26342168,26656
基层医疗卫生服务,.70312345,.29687655,.4062469,26314
采矿、冶金、建筑专用设备制造,.79098487,.20901515,.58196974,24491
快餐服务,.53768504,.46231499,.075370044,23551
金属工具制造,.78090996,.21909006,.56181991,22410
知识产权服务,.61823452,.38176548,.23646905,22377
中药材种植,.68645579,.31354421,.37291157,22052
洗浴和保健养生服务,.53388309,.46611694,.06776613,22047
道路运输辅助活动,.76986653,.23013346,.53973311,21314
邮政基本服务,.67854339,.32145664,.35708675,21198
烘炉、风机、包装等设备制造,.77460152,.22539851,.54920298,21195
电线、电缆、光缆及电工器材制造,.73842216,.26157784,.47684434,19301
建筑、安全用金属制品制造,.77859813,.22140187,.55719626,19095
玻璃制品制造,.727314,.272686,.45462799,19031
其他土地管理服务,.73923576,.26076427,.47847149,18962
煤炭开采和洗选专业及辅助性活动,.68423575,.31576428,.36847147,18486
非金属废料和碎屑加工处理,.6110127,.38898733,.22202535,17897
专用化学产品制造,.71027917,.28972083,.42055836,17781
旅游饭店,.76321077,.23678921,.52642161,17648
焙烤食品制造,.70289493,.29710507,.40578988,17344
产业用纺织制成品制造,.70531201,.29468802,.410624,17294
日用化学产品制造,.68385357,.31614643,.36770713,16769
纤维素纤维原料及纤维制造,.73889637,.26110366,.47779271,16551
酒的制造,.78034699,.21965304,.56069392,16506
金属丝绳及其制品制造,.77072752,.2292725,.54145503,16335
资本投资服务,.75696182,.24303819,.51392365,16295
互联网接入及相关服务,.56556571,.43443432,.13113138,16014
其他黑色金属矿采选,.58653092,.41346908,.17306186,15756
肥料制造,.72246313,.27753684,.44492632,15627
轴承、齿轮和传动部件制造,.76727647,.23272352,.53455299,15552
医疗仪器设备及器械制造,.73566741,.26433262,.47133479,15493
提供施工设备服务,.7848525,.21514753,.56970495,15304
电子元件及电子专用材料制造,.65766889,.34233114,.31533772,15295
