省份,城市,firm_total,entry_rate,exit_rate,net_rate,rank_2023
西藏自治区,那曲市,516,1,0,1,1
青海省,玉树藏族自治州,394,1,0,1,2
青海省,果洛藏族自治州,164,1,0,1,3
海南省,三沙市,17,1,0,1,4
西藏自治区,阿里地区,224,1,0,1,5
西藏自治区,日喀则市,1937,.99948376,.00051626225,.99896747,6
西藏自治区,拉萨市,6813,.99838543,.0016145604,.99677086,7
广东省,深圳市,182918,.99830526,.0016947484,.99661052,8
西藏自治区,林芝市,1014,.99802762,.0019723866,.99605525,9
广东省,惠州市,39648,.99798226,.0020177562,.99596447,10
甘肃省,陇南市,3134,.99776644,.0022335674,.99553287,11
甘肃省,嘉峪关市,408,.997549,.0024509805,.99509805,12
湖南省,衡阳市,16101,.99745357,.0025464257,.99490714,13
陕西省,商洛市,2178,.99724519,.002754821,.99449039,14
青海省,海东市,1809,.99723601,.0027639579,.99447209,15
西藏自治区,山南市,709,.99717915,.0028208746,.99435824,16
湖南省,常德市,19740,.99711245,.0028875379,.99422491,17
青海省,黄南藏族自治州,334,.997006,.0029940121,.994012,18
甘肃省,张掖市,3253,.99692589,.0030740856,.99385184,19
四川省,甘孜藏族自治州,1241,.99677682,.0032232071,.99355358,20
